,GC,SCOM1,LSC1,DDC,STS1,MILB1,LSC2,LFC1,LFC2,MILB2,STS2,WCC1,WCC2,N25,SRC1,SRC2,WCMA2,SFC1,SFC2,STU1,STU2,OFC1,OFC2,WRIC1,JCN1,JCN2,PSC,NEWM1,WRIC2,NEWM2,N8,SBC,CRCS,LC1,SOPH1,LIBE1,LIBE2,N14,SCOM2,PC,BCN1,RMC2,BUCK1,BUCK2,PWC1,SOPH2,BKP1,PWP1,PWC2,RMC1,PWP2,FROZN,HC2,GRE,LNC1,BCN2,FIRI2,FIRI1,WOC2,COWE2,SMIT1,BBC,BKP2,DCC1,LC2,PEC1,LNC2,AUST2,WHI2,WOC1,WHC2,WCMA1,DCC2,PEC2,AUST1,COWE1,WHI1,HC1,SMIT2,WHC1,WOND,WHEE2,BLAC1,BLAC2,BUCH1,BUCH2,HOYC1,FRIE2,FRIE1,HOYC2,DSC,BBE1,PLSC2,N29,BBE2,WHEE1,BEAR1,JAC,BEAR2,BOY1,BOY2
PEC1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
LNC2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
AUST2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WHI2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WOC1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WHC2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WCMA1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
DCC2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
PEC2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
AUST1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
COWE1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WHI1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
HC1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
SMIT2,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WHC1,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WOND,99.8,99.9,99.6,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.8,100,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,98.1,98.1,98,98,98.2,98.1,98.1,98.3,98.2,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
WHEE2,97.4,97.4,97.6,97.7,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.3,97.4,97.3,97.4,97.4,97.4,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.5,97.4,97.4,97.5,97.4,97.4,97.5,97.4,97.5,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,99.3,99.1,99.1,99.2,99.2,99.1,99.1,99.1,99.1,99.2,99.2,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.2,99.2
BLAC1,98,98,98,98.1,98,98,98,98,98,98,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.1,100,100,99.7,99.7,99.7,99.7,99.7,99.8,99.9,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7
BLAC2,98,98.1,98,98.1,98,98,98,98,98,98,98,98,98,97.8,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98.1,97.9,98.1,97.9,97.9,98,98,98,98,97.9,98,98,97.9,97.9,98,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.1,100,100,99.7,99.7,99.7,99.6,99.6,99.8,99.9,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7
BUCH1,97.9,97.9,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,97.9,97.8,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,97.9,97.9,97.9,97.9,97.9,98,97.9,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99.2,99.7,99.7,100,100,99.7,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8
BUCH2,97.9,97.9,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,97.9,97.8,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,97.9,97.9,97.9,97.9,97.9,98,97.9,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99.2,99.7,99.7,100,100,99.7,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8
HOYC1,98.1,98.1,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98,97.9,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.2,98,98.2,98.1,98,98.1,98.1,98.1,98.1,98,98.2,98.1,98,98,98.1,98.1,98.1,98.1,98.1,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,99.1,99.7,99.7,99.7,99.7,100,99.6,99.6,99.9,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7
FRIE2,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.1,99.7,99.6,99.7,99.7,99.6,100,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7
FRIE1,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.1,99.7,99.6,99.7,99.7,99.6,99.7,100,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7
HOYC2,98.2,98.2,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.1,98.1,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.1,98.3,98.2,98.1,98.2,98.2,98.2,98.2,98.1,98.2,98.2,98.1,98.1,98.2,98.2,98.2,98.2,98.2,98.2,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,98.3,99.1,99.8,99.8,99.7,99.7,99.9,99.7,99.7,100,99.9,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7
DSC,98.1,98.1,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98,98,97.9,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98,98.2,98.1,98,98.1,98.1,98.1,98.1,98,98.2,98.1,98,98,98.1,98.1,98.1,98.1,98.1,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,99.2,99.9,99.9,99.8,99.8,99.8,99.7,99.7,99.9,100,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8
BBE1,97.9,97.9,98.1,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,97.9,97.8,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,97.9,97.9,97.9,97.9,97.9,98,97.9,98,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99.2,99.7,99.7,99.8,99.8,99.7,99.7,99.7,99.7,99.8,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8
PLSC2,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
N29,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
BBE2,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
WHEE1,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
BEAR1,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
JAC,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
BEAR2,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.3,99.8,99.8,99.9,99.9,99.7,99.8,99.8,99.8,99.9,99.9,100,100,100,100,100,100,100,99.9,99.9
BOY1,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.2,99.7,99.7,99.8,99.8,99.7,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100
BOY2,98,98,98.2,98.3,98.2,98.2,98.2,98.2,98.2,98.2,98.2,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,97.9,98,98,98,98,98,98,98,97.9,98.1,98,97.9,98,98,98,98.1,97.9,98.1,98,97.9,97.9,98,98,98,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,99.2,99.7,99.7,99.8,99.8,99.7,99.7,99.7,99.7,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,100
